Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x7afb766f61853ad:0xc55c745a2a567029,Jardim do Seridó,BR,BR-RN,24,0.1616,0:00:24
0x94ccc43d2f182b09:0x4ff95ebd5d4a29a7,Guaratinguetá,BR,BR-SP,24,0.2626,0:00:39
0x94cf1b48cc9f4fbd:0x9e2a5b9e0e692e6c,Santana de Parnaíba,BR,BR-SP,24,0.3293,0:00:49
0x94cf5265d8ecfaed:0xe774edc5dd9694a7,Salto,BR,BR-SP,24,0.2282,0:00:34
0x94dd1992df425883:0x581666499c204c71,Campo Largo,BR,BR-PR,24,0.1893,0:00:28
0x7390a3f7b1d2a77:0xfc575920401943ea,Ilhéus,BR,BR-BA,23,0.1324,0:00:20
0x7aa8cf9890f4efb:0x5fc87330ce0960a7,Ipojuca,BR,BR-PE,23,0.2219,0:00:34
0x94c5cc70ba456a65:0x770be09241987369,Itapetininga,BR,BR-SP,23,0.2218,0:00:34
0x94c7580297897717:0x2014cdea99a6a82e,Jaú,BR,BR-SP,23,0.2297,0:00:35
0x94c870cc12a095e9:0x888552ad0cb59b45,Araras,BR,BR-SP,23,0.3015,0:00:47
0x94cf5b325a970985:0xee86064475a064,Itu,BR,BR-SP,23,0.259,0:00:40
0x7aa4820180cfe83:0xbb9e178bc01d927,Gravatá,BR,BR-PE,22,0.2339,0:00:38
0x92d90dde5d8c4ffb:0x4a30e815e64dc4fc,Araguaína,BR,BR-TO,22,0.1391,0:00:22
0x92dd50f92324d7b3:0x8abd8fc75566af72,Parauapebas,BR,BR-PA,22,0.1543,0:00:25
0x94ce2883ba386b79:0x211da91fc6c0ccb9,Mongaguá,BR,BR-SP,22,0.2209,0:00:36
0x94cec11f46f1007d:0xc885a2d1bf078e37,Atibaia,BR,BR-SP,22,0.1131,0:00:18
0x94cfab703a900551:0xe5b57c51bbd4fcad,Embu das Artes,BR,BR-SP,22,0.2098,0:00:34
0x9e9bf8d9cfa62b:0x56dbc34364c7ad23,Barra Mansa,BR,BR-RJ,22,0.1402,0:00:22
0xbc606f20d4e52d:0x3836f9ce8f8f6baa,Itaperuna,BR,BR-RJ,22,0.2077,0:00:33
0x9361db7d2c321dc1:0xe7ac78da77d5dc69,Rio Verde,BR,BR-GO,21,0.2606,0:00:44
0x94cd5228bab1966d:0x9905169ef1825576,Ubatuba,BR,BR-SP,21,0.1838,0:00:31
0x9519722abb5e0dab:0x30b08253f7d32c93,Cachoeirinha,BR,BR-RS,21,0.1542,0:00:26
0x7ab107cc8ec5c4d:0x14cbb8134030c97b,Camaragibe,BR,BR-PE,20,0.156,0:00:28
0x935bb8f0f9cf13df:0x85d1886146dc5a99,Águas Lindas de Goiás,BR,BR-GO,20,0.1601,0:00:28
0x9490ca9ec015f91b:0xc889b717f554f80e,Andradina,BR,BR-SP,20,0.1105,0:00:19
0x94d0260fdd8be325:0x3d167a98073d2ec7,Peruíbe,BR,BR-SP,20,0.1094,0:00:19
0x95196f2ffd8aee35:0xddb77628a413401d,Sapucaia do Sul,BR,BR-RS,20,0.1154,0:00:20
0x9379c8415a99e261:0x68c26f5b554d755c,Rondonópolis,BR,BR-MT,19,0.2114,0:00:40
0x94c89d97dedd345f:0xfa0858713f645375,Santa Bárbara d'Oeste,BR,BR-SP,19,0.1577,0:00:29
0x94d27f94c6dd56fd:0x546010e330dcb8e7,São Sebastião,BR,BR-SP,19,0.1223,0:00:23
0x94d8cda045e175d7:0xbe2156a0f05ff9b6,Navegantes,BR,BR-SC,19,0.1861,0:00:35
0x94dce81bb32f665f:0x71a27a3f0e78b715,Colombo,BR,BR-PR,19,0.2269,0:00:42
0x94ef37c6596e4225:0xcb25a417a2355cc8,Guarapuava,BR,BR-PR,19,0.1585,0:00:30
0x951968315942f59b:0x1b4734205177f47c,São Leopoldo,BR,BR-RS,19,0.1554,0:00:29
0x951ca36e260866f5:0x84f108595f044705,Santa Cruz do Sul,BR,BR-RS,19,0.1546,0:00:29
0x99bff5afbc21c3:0x81cefcbdcd8acf65,Itaboraí,BR,BR-RJ,19,0.1796,0:00:34
0xa5074732765415:0xe75615374cb9bb9a,João Monlevade,BR,BR-MG,19,0.1019,0:00:19
0xa6a30042cd1f59:0xa317953d89263640,Nova Lima,BR,BR-MG,19,0.3503,0:01:06
0xbcc64152334a17:0x59481656f33750cc,Muriaé,BR,BR-MG,19,0.1464,0:00:27
0x7abdb5e2d2e2ef7:0xeceadff726b08cc,Surubim,BR,BR-PE,18,0.1351,0:00:27
0x7ec3adcd5926c75:0x45351f9daa75bb92,Parnaíba,BR,BR-PI,18,0.1377,0:00:27
0x94c85a6407e30b8f:0xc35136af8ca26d9b,Mogi Guaçu,BR,BR-SP,18,0.1405,0:00:28
0x94cceff3481bdbf7:0xb66dbe96dee49649,Pindamonhangaba,BR,BR-SP,18,0.1634,0:00:32
0x94cf2a851d59a719:0x1993f2010972ec6d,Itatiba,BR,BR-SP,18,0.2534,0:00:50
